"algorithm","sampleSize","N","shd_before","shd_after","adjF1_before","adjF1_after","arrF1_before","arrF1_after","violations_before","violations_after","modelP_before","modelP_after","edges_before","edges_after"
"PC","500",10,"7.700 (0.700)","5.100 (1.233)","0.846 (0.027)","0.908 (0.026)","0.581 (0.048)","0.778 (0.062)","9.400 (1.579)","0.300 (0.213)","0.132 (0.056)","0.409 (0.073)","11.800 (0.533)","14.500 (0.373)"
"PC","2000",10,"6.400 (1.284)","2.900 (0.809)","0.898 (0.022)","0.930 (0.023)","0.649 (0.083)","0.877 (0.039)","9.200 (2.308)","0.200 (0.133)","0.145 (0.087)","0.477 (0.099)","12.500 (0.543)","14.600 (0.476)"
"FGES","500",10,"7.400 (1.343)","6.200 (1.618)","0.866 (0.019)","0.888 (0.027)","0.629 (0.068)","0.724 (0.078)","3.800 (0.827)","0.400 (0.267)","0.388 (0.094)","0.473 (0.097)","13.200 (0.573)","14.500 (0.269)"
"FGES","2000",10,"5.300 (1.334)","5.800 (1.497)","0.894 (0.025)","0.899 (0.023)","0.772 (0.061)","0.757 (0.063)","2.900 (0.640)","0.000 (0.000)","0.509 (0.093)","0.486 (0.112)","14.100 (0.767)","15.800 (0.800)"
"BOSS","500",10,"3.500 (0.806)","4.400 (0.991)","0.921 (0.014)","0.926 (0.017)","0.838 (0.041)","0.809 (0.053)","2.400 (0.476)","0.300 (0.153)","0.537 (0.098)","0.437 (0.080)","13.200 (0.291)","14.600 (0.267)"
"BOSS","2000",10,"2.800 (0.696)","2.800 (0.593)","0.937 (0.019)","0.939 (0.013)","0.892 (0.033)","0.885 (0.029)","2.400 (0.581)","0.000 (0.000)","0.479 (0.097)","0.427 (0.100)","13.300 (0.473)","15.000 (0.298)"
