"algorithm","sampleSize","N","shd_before","shd_after","adjF1_before","adjF1_after","arrF1_before","arrF1_after","violations_before","violations_after","modelP_before","modelP_after","edges_before","edges_after"
"PC","500",10,"7.700 (0.700)","6.600 (1.641)","0.846 (0.027)","0.861 (0.036)","0.581 (0.048)","0.731 (0.069)","9.400 (1.579)","0.500 (0.307)","0.132 (0.056)","0.474 (0.099)","11.800 (0.533)","15.000 (0.333)"
"PC","2000",10,"6.400 (1.284)","3.100 (0.912)","0.898 (0.022)","0.920 (0.023)","0.649 (0.083)","0.871 (0.045)","9.200 (2.308)","0.100 (0.100)","0.145 (0.087)","0.428 (0.106)","12.500 (0.543)","14.700 (0.396)"
"FGES","500",10,"7.400 (1.343)","5.800 (1.420)","0.866 (0.019)","0.903 (0.014)","0.629 (0.068)","0.743 (0.074)","3.800 (0.827)","0.300 (0.213)","0.388 (0.094)","0.431 (0.098)","13.200 (0.573)","14.900 (0.348)"
"FGES","2000",10,"5.300 (1.334)","5.600 (1.593)","0.894 (0.025)","0.883 (0.027)","0.772 (0.061)","0.778 (0.064)","2.900 (0.640)","0.000 (0.000)","0.509 (0.093)","0.517 (0.111)","14.100 (0.767)","15.700 (0.803)"
"BOSS","500",10,"3.500 (0.806)","5.100 (0.888)","0.921 (0.014)","0.913 (0.011)","0.838 (0.041)","0.772 (0.050)","2.400 (0.476)","0.400 (0.221)","0.537 (0.098)","0.451 (0.099)","13.200 (0.291)","14.800 (0.249)"
"BOSS","2000",10,"2.800 (0.696)","3.200 (0.800)","0.937 (0.019)","0.916 (0.021)","0.892 (0.033)","0.871 (0.036)","2.400 (0.581)","0.000 (0.000)","0.479 (0.097)","0.471 (0.103)","13.300 (0.473)","15.100 (0.407)"
