"algorithm","sampleSize","N","shd_before","shd_after","adjF1_before","adjF1_after","arrF1_before","arrF1_after","violations_before","violations_after","modelP_before","modelP_after","edges_before","edges_after"
"PC","500",100,"7.960 (0.251)","5.690 (0.329)","0.835 (0.008)","0.871 (0.008)","0.573 (0.018)","0.755 (0.017)","9.060 (0.507)","0.480 (0.111)","0.136 (0.020)","0.516 (0.030)","11.420 (0.148)","14.390 (0.175)"
"PC","2000",100,"6.260 (0.316)","4.180 (0.309)","0.894 (0.006)","0.915 (0.006)","0.677 (0.021)","0.834 (0.015)","9.800 (0.532)","0.280 (0.079)","0.104 (0.021)","0.498 (0.030)","12.740 (0.145)","15.530 (0.164)"
"FGES","500",100,"8.210 (0.400)","6.780 (0.424)","0.838 (0.008)","0.860 (0.008)","0.592 (0.022)","0.707 (0.021)","4.500 (0.296)","0.310 (0.073)","0.278 (0.028)","0.503 (0.031)","12.960 (0.223)","14.830 (0.188)"
"FGES","2000",100,"6.420 (0.465)","5.960 (0.469)","0.894 (0.007)","0.888 (0.008)","0.697 (0.024)","0.751 (0.023)","3.610 (0.271)","0.220 (0.061)","0.372 (0.031)","0.505 (0.029)","14.600 (0.227)","15.780 (0.176)"
"BOSS","500",100,"4.310 (0.287)","5.150 (0.314)","0.895 (0.007)","0.883 (0.007)","0.800 (0.017)","0.780 (0.017)","3.080 (0.213)","0.280 (0.067)","0.375 (0.032)","0.506 (0.029)","12.470 (0.158)","14.360 (0.168)"
"BOSS","2000",100,"2.330 (0.236)","3.770 (0.267)","0.949 (0.005)","0.922 (0.005)","0.897 (0.013)","0.849 (0.013)","2.570 (0.191)","0.180 (0.056)","0.427 (0.031)","0.478 (0.030)","13.750 (0.118)","15.400 (0.147)"
